Cultivar	Wild
s828	Improved cultivar	
s829	Improved cultivar	
s830	Improved cultivar	
s831	Improved cultivar	
s832	Improved cultivar	
s833	Improved cultivar	
s834	Improved cultivar	
s835	Improved cultivar	
s836	Improved cultivar	
s837	Improved cultivar	
s838	Improved cultivar	
s839	Improved cultivar	
s840	Improved cultivar	
s841	Improved cultivar	
s842	Improved cultivar	
s843	Improved cultivar	
s844	Improved cultivar	
s845	Improved cultivar	
s846	Improved cultivar	
s847	Improved cultivar	
s848	Improved cultivar	
s849	Improved cultivar	
s850	Improved cultivar	
s851	Improved cultivar	
s852	Improved cultivar	
s853	Improved cultivar	
s854	Improved cultivar	
s855	Improved cultivar	
s856	Improved cultivar	
s857	Improved cultivar	
s858	Improved cultivar	
s859	Improved cultivar	
s860	Improved cultivar	
s861	Improved cultivar	
s862	Improved cultivar	
s863	Improved cultivar	
s864	Improved cultivar	
s865	Improved cultivar	
s866	Improved cultivar	
s867	Improved cultivar	
s868	Improved cultivar	
s869	Improved cultivar	
s870	Improved cultivar	
s871	Improved cultivar	
s872		Glycine soja
s873		Glycine soja
s874		Glycine soja
s875		Glycine soja
s876		Glycine soja
s877		Glycine soja
s878		Glycine soja
s879		Glycine soja
s880		Glycine soja
s881		Glycine soja
s882		Glycine soja
s883		Glycine soja
s884		Glycine soja
s885		Glycine soja
s886		Glycine soja
s887		Glycine soja
s888		Glycine soja
s889		Glycine soja
s890		Glycine soja
s891		Glycine soja
s892		Glycine soja
s893		Glycine soja
s894		Glycine soja
s895		Glycine soja
s896		Glycine soja
s897		Glycine soja
s898		Glycine soja
s899		Glycine soja
s900		Glycine soja
s901		Glycine soja
s902		Glycine soja
s903		Glycine soja
s904		Glycine soja
s905		Glycine soja
s906		Glycine soja
s907		Glycine soja
s908		Glycine soja
s909		Glycine soja
s910		Glycine soja
s911		Glycine soja
s912		Glycine soja
s913	Landrace	
s914	Landrace	
s915	Landrace	
s916	Landrace	
s917	Landrace	
s918	Landrace	
s919	Landrace	
s920	Landrace	
s921	Landrace	
s922	Landrace	
s923	Landrace	
s924	Landrace	
s925	Landrace	
s926	Landrace	
s927	Landrace	
s928	Landrace	
s929	Landrace	
s930	Landrace	
s931	Landrace	
s932	Landrace	
s933	Landrace	
s934	Landrace	
s935	Landrace	
s936	Landrace	
s937	Landrace	
s938	Landrace	
s939	Landrace	
s940	Landrace	
s941	Landrace	
s942	Landrace	
s943	Landrace	
s944	Landrace	
s945	Landrace	
s946	Landrace	
s947	Landrace	
s948	Landrace	
s949	Landrace	
s950	Landrace	
s951	Landrace	
s952	Landrace	
s953	Landrace	
s954	Landrace	
