Gene_ID	Trifoliate	Leaves	Roots
Glysoja.01G001380	0	0.041773	0
Glysoja.01G001382	0	0	0
Glysoja.01G001384	0	0	0
Glysoja.01G001385	0	0	0
Glysoja.01G001386	0	0	0
Glysoja.01G001387	0.280968	0.069085	0.280497
Glysoja.01G001389	0	0	0
Glysoja.01G001391	0	0	0
Glysoja.01G001393	0	0	0
Glysoja.01G001397	0.757419	0.03754	0
Glysoja.01G001399	0	0	0
Glysoja.01G001403	0	0	0
Glysoja.01G001404	0	0	0.071335
Glysoja.01G001409	0.167468	0	0.122459
Glysoja.01G001410	0	0	0
Glysoja.01G001412	0	0	0
Glysoja.01G001413	0.255662	0.209999	0.526558
Glysoja.01G001414	0	0	0
Glysoja.01G001415	0	0	0.190179
Glysoja.01G001417	0.28701	0	0.147065
Glysoja.01G001420	0	0.183047	0
Glysoja.01G001422	0	0	0
Glysoja.01G001423	0	0	0
Glysoja.01G001425	0	0	0
Glysoja.01G001426	0	0	0
Glysoja.01G001428	0.257572	0.839215	0.957467
Glysoja.01G001432	0	0.074015	0.105018
Glysoja.01G001433	0	0	0
Glysoja.01G001434	0	0	0
Glysoja.01G001435	0	0	0
Glysoja.01G001436	0	0	0
Glysoja.01G001437	0.111711	0.099599	0.099434
